nameWithOwner,createdAt,stargazerCount
freeCodeCamp/freeCodeCamp,2014-12-24T17:49:19Z,391278
EbookFoundation/free-programming-books,2013-10-11T06:50:37Z,323456
sindresorhus/awesome,2014-07-11T13:42:37Z,306355
public-apis/public-apis,2016-03-20T23:49:42Z,295810
jwasham/coding-interview-university,2016-06-06T02:34:12Z,295472
kamranahmedse/developer-roadmap,2017-03-15T13:45:52Z,279187
codecrafters-io/build-your-own-x,2018-05-09T12:03:18Z,271805
996icu/996.ICU,2019-03-26T07:31:14Z,269244
donnemartin/system-design-primer,2017-02-26T16:15:28Z,260007
facebook/react,2013-05-24T16:15:54Z,224037
vinta/awesome-python,2014-06-27T21:00:06Z,209375
vuejs/vue,2013-07-29T03:24:51Z,207253
trekhleb/javascript-algorithms,2018-03-24T07:47:04Z,184389
tensorflow/tensorflow,2015-11-07T01:19:20Z,183364
awesome-selfhosted/awesome-selfhosted,2015-06-01T02:33:17Z,183046
TheAlgorithms/Python,2016-07-16T09:44:01Z,181264
getify/You-Dont-Know-JS,2013-11-16T02:37:24Z,177358
practical-tutorials/project-based-learning,2017-04-12T05:07:46Z,176211
CyC2018/CS-Notes,2018-02-13T14:56:24Z,173115
torvalds/linux,2011-09-04T22:48:12Z,172878
ohmyzsh/ohmyzsh,2009-08-28T18:15:37Z,170015
twbs/bootstrap,2011-07-29T21:19:00Z,167831
ossu/computer-science,2014-05-04T00:18:39Z,164701
Significant-Gravitas/AutoGPT,2023-03-16T09:21:07Z,162905
flutter/flutter,2015-03-06T22:54:58Z,162656
microsoft/vscode,2015-09-03T20:23:38Z,159629
github/gitignore,2010-11-08T20:17:14Z,158879
jackfrued/Python-100-Days,2018-03-01T16:05:52Z,151508
jlevy/the-art-of-command-line,2015-05-20T15:11:03Z,150226
Snailclimb/JavaGuide,2018-05-07T13:27:00Z,144226
airbnb/javascript,2012-11-01T23:13:50Z,142618
trimstray/the-book-of-secret-knowledge,2018-06-23T10:43:14Z,134403
AUTOMATIC1111/stable-diffusion-webui,2022-08-22T14:05:26Z,133366
